yyyymm,Mkt_RF,SMB,HML,RMW,CMA,RF,LID,MOM,R_MKT,R_ME,R_IA,R_ROE,R_EG,PEAD,FIN,SMB_SY,MGMT,PERF,HML_Novy,UMD_Novy,PMU_Novy
200501,-2.76,-1.18,2.06,2.73,-1.46,0.16,4.233995,3.05,-2.7543,-0.3941,-0.4036,3.2457,1.2576,0.43,6.24,-0.8402652,0.8845794,2.0226569,0.014691138,0.010556048,0.008700882
200502,1.89,-0.3,1.53,1.45,-0.05,0.16,5.583943,3.37,1.8819,0.1469,0.2917,3.5726,0.6662,0.58,-1.31,0.7009641,-1.6318126,3.7577163,0.007804147,0.009177503,0.003737579
200503,-1.97,-1.42,2.04,0.47,1.29,0.21,-0.304622,0.41,-1.9348,-1.7448,0.9394,0.535,1.8949,0.12,2.96,-1.2645999,1.0870094,3.3636208,0.01454737,0.005028589,0.008746323
200504,-2.61,-3.98,0.06,0.97,-0.94,0.21,-5.303951,-0.69,-2.6089,-4.4794,-1.4563,-1.1019,2.1604,0.01,0.09,-4.108252,-0.7066906,-0.3488775,0.016271504,0.010803931,-0.003818633
200505,3.65,2.79,-0.64,-1,0.3,0.24,0.006608,0.45,3.6511,2.9656,-0.0579,0.9641,0.4258,1.95,-1.5,2.6494253,0.380685,1.611874,-0.010114134,0.003215171,0.010548577
200506,0.57,3.28,2.82,0.97,-0.51,0.23,4.263413,2.05,0.571,3.8096,-0.1983,-0.4264,-0.4162,-0.25,-1.64,2.9961216,-0.0590392,-1.8016732,0.00551541,0.011857038,0.001077787
200507,3.92,2.8,-0.78,-1.22,-0.81,0.24,2.730879,0.06,3.9143,2.7307,-2.0741,-0.2056,-0.4032,0.01,-2.93,2.5721108,-1.1802175,-0.112746,-0.012651477,0.007402044,-0.002523765
200508,-1.22,-0.89,1.32,-2.05,0.36,0.3,3.004829,2.08,-1.1886,-0.7894,0.2365,-0.6858,-0.6057,0.3,-2.2,-0.5393565,-0.0057521,0.8265762,0.016183429,0.012595502,-0.005191282
200509,0.49,-0.35,0.72,0.27,-0.6,0.29,3.387571,3.43,0.4859,0.006,-0.0283,0.858,0.2596,3.25,-1.08,-1.356536,-0.5591619,1.7733369,0.000369031,0.020364343,0.010076326
200510,-2.02,-1.45,0.43,-0.94,-1.3,0.27,-4.393615,-1.39,-2.0446,-0.5142,-0.3185,1.1029,-0.5479,-0.51,-2.18,-1.7169294,1.353395,-1.8283769,-0.007053492,-0.005436612,0.002918999
